Category,Name,Image,Website,Offer,Details,Districts
Thai,Sawali Club,,http://www.diningdiscount.hk/en/restaurant/424,四人均已接種疫苗,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。 除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。",['Wan Chai']
Asian,Gaylord Indian Restaurant,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Gaylord%20LOGO_300px_9JULY2021%20-%20HK%20Quiero%20Mas.png?itok=rh6F-QF2,http://www.diningdiscount.hk/en/restaurant/443,提供全單七折予四人一枱，四人均已接種疫苗的顧客,"優惠並不適用於參與商戶之特定日期（星期五及星期六）
本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
 所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。",['Yau Tsim Mong']
Asian,King & I – Thai & Vietnamese,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/King%26I.jpg?itok=trrV6owT,http://www.diningdiscount.hk/en/restaurant/82,30% off a set menu,"Offer available Monday to Friday dinner. Except Public Holiday.
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Kwun Tong']
Asian,Satay Inn (Royal Pacific Hotel),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Satay%20Inn%20Logo-Chi%20colour.png?itok=V1_k_rc6,http://www.diningdiscount.hk/en/restaurant/352,30% off on a la carte menu,"Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last. Only electronic payments are entitled to the offers if applicable. Octopus Card and cash payments are not eligible if applicable.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Yau Tsim Mong']
Asian,AKAM LAKSA,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Akam%20Logo%20-%20%E5%90%B3%E8%A9%A9%E9%9F%BBYvonne%20Ng.jpeg?itok=bJnsrY_D,http://www.diningdiscount.hk/en/restaurant/205,"指定四人套餐七折
只適用午市及晚市
只限堂食","本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。 每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。 ","['Kwun Tong', 'Wong Tai Sin', 'Yau Tsim Mong', 'Sai Kung', 'Yuen Long']"
Asian,Pak Don,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-10/PAKDON_logo_2_w.jpg?itok=B8GzlZMx,http://www.diningdiscount.hk/en/restaurant/114,二人餐七折,"*本優惠適用於已接種疫苗之顧客
*不可同其他優惠同時使用
*如有任何爭議，栢檔有最終決策權
*九龍灣淘大分店、荃灣荃新天地分店及堅尼地城分店～只限堂食
*油塘大本型分店～只在指定時段【11:00-14:00】","['Central and Western', 'Kwun Tong', 'Tsuen Wan']"
Asian,SEDAP 惹味馬拉,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/SETM_%E6%83%B9%E5%91%B3%E9%A6%AC%E6%8B%89-logo.png?itok=l0u9bpOs,http://www.diningdiscount.hk/en/restaurant/419,套餐七折 ,"- 本優惠適用於已接種疫苗的顧客。
- 所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
- 除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
- 優惠數量有限，先到先得。
- 顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
- 所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
- 如有任何爭議，參與商戶保留最終決定權。",['Tuen Mun']
Asian,Sichuan BBQ restaurant ,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%E8%9C%80%E4%B8%80%E7%87%92.jpg?itok=_wACvH1R,http://www.diningdiscount.hk/en/restaurant/213,所有單點飲品7折（啤酒，汽水，紅，白酒等）,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
優惠使用者必須以電子貨幣支付方可享有優惠（如適用）。
恕不接受八達通支付及現金付款（如適用）。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Yau Tsim Mong']
Asian,BUGIS@叻沙・海南雞飯,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Bugis%40%E5%8F%BB%E6%B2%99%E3%83%BB%E6%B5%B7%E5%8D%97%E9%9B%9E%E9%A3%AF-01.png?itok=CYCg8oHV,http://www.diningdiscount.hk/en/restaurant/418,個別食品七折優惠,"- 本優惠適用於已接種疫苗的顧客。
- 所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
- 除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
- 優惠數量有限，先到先得。
- 顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
- 所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
- 如有任何爭議，參與商戶保留最終決定權。","['Sham Shui Po', 'Wong Tai Sin', 'Tuen Mun', 'Yuen Long']"
Asian,VIET'S CHOICE,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/%E8%B6%8A%E6%A3%A71.jpg?itok=xwnRtU2X,http://www.diningdiscount.hk/en/restaurant/199,提供指定套餐－七彩珍寶撈折扣優惠,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
如有任何爭議，參與商戶保留最終決定權。","['Southern', 'Kwun Tong', 'Wong Tai Sin', 'Sha Tin', 'Tsuen Wan', 'Tuen Mun', 'Yuen Long']"
Asian,SINGAPORE LION,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Screenshot_20210325-151717_Adobe%20Acrobat%20-%20%E8%8F%AF%E5%93%A5%E9%99%B3%E5%98%89%E8%8F%AF.jpg?itok=Wz5rnsod,http://www.diningdiscount.hk/en/restaurant/404,套餐七折,"本優惠適用於已接種疫苗的顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。
如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
優惠使用者必須以電子貨幣支付方可享有優惠（如適用）。恕不接受八達通支付及現金付款（如適用）。
優惠並不適用於參與商戶之特定日期（如適用）。
詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。 餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Central and Western']
Italian,ciao chow,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/ciaochow_logo_final_Trattoria%26Bar_jpg%20-%20Chan%20Nicholas.jpg?itok=jT3J_FP0,http://www.diningdiscount.hk/en/restaurant/421,"30% off on pizzas only
(For four person per table, each customer has received at least one dose of vaccine)","1. This offer is valid till 31st August 2021.
2. This offer is valid from Sunday to Thursday.
3. This offer is valid for dinner dine-in and pizza items only.
4. Only one offer can be used in a single transaction.
5. This offer cannot be redeemed for cash or used in conjunction with other promotional offers, discounts, or private function.
6. The value stated above is exclusive of 10% service charge.
7. Subject to availability and advance booking is required.
8. Lan Kwai Fong Entertainments reserves the rights of final decision in case of any disputes.",['Central and Western']
Italian,Osteria (Holiday Inn Golden Mile),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/Holiday%20Inn%20Golden%20Mile%20Hong%20Kong_LOGO_Colour_V%20-%20Catering%20Holiday%20Inn_2.jpg?itok=Seo7wgso,http://www.diningdiscount.hk/en/restaurant/359,30% off lunch & dinner in Osteria,"Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer., Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable., Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Yau Tsim Mong']
Italian,Avanti Pizzeria (Regal Riverside Hotel),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/hotel%20logo_mid%20high%20res%20-%20Kammy%20Lui%20%281%29_0.jpg?itok=_aeV2D0Z,http://www.diningdiscount.hk/en/restaurant/383,July 30% off for food (except promotional items),"Offers are eligible for vaccinated customers
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.",['Sha Tin']
Western,Pepino Italian Restaurant (Novotel Century Hong Kong),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-06/Pepino%E6%84%8F%E5%A4%A7%E5%88%A9%E9%A4%90%E5%BB%B3%20-%20%E6%A8%99%E8%AA%8C%20-%20Century%20Novotel_0.png?itok=j5STFnBp,http://www.diningdiscount.hk/en/restaurant/171,午市套餐及主餐牌七折,"- 本優惠適用於已接種疫苗的顧客。 
- 所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
- 除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
- 優惠數量有限，先到先得。
- 顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
- 所有餐飲優惠須另收取一成服務費，並會以原價計算。
- 如有任何爭議，參與商戶保留最終決定權。",['Wan Chai']
Western,Le Café (Novotel Century Hong Kong),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-06/Le%20Caf%C3%A9%E5%92%96%E5%95%A1%E5%BB%B3%20-%20%E6%A8%99%E8%AA%8C%20-%20Century%20Novotel.png?itok=h5PSzO_R,http://www.diningdiscount.hk/en/restaurant/168,自助餐及主餐牌七折,"- 本優惠適用於已接種疫苗的顧客。 
- 所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
- 除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
-  優惠數量有限，先到先得。
- 顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
- 所有餐飲優惠須另收取一成服務費，並會以原價計算。
- 如有任何爭議，參與商戶保留最終決定權。",['Wan Chai']
Western,Porterhouse ,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/PTH_Logo_2.jpg?itok=F_x86Hjt,http://www.diningdiscount.hk/en/restaurant/91,"30% off for the whole bill (food items only)
(For four person per table, each customer has received at least one dose of vaccine)",,['Central and Western']
Western,Pizza Hut,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2020-07/Pizza%20Hug%20logo.png?itok=-YqlujXO,http://www.diningdiscount.hk/en/restaurant/238,"Campaign period: 15 July – 25 Aug
1: A la carte menu 30% OFF (For dine-in & Takeaway)
2: A complimentary selected regular pizza when you order HK$280 or above for takeaway orders","‧      Limited availability during the campaign period
‧      Applicable at Pizza Hut in Hong Kong only (except Park Circle store)
‧      Valid from Monday to Sunday
‧      Offers are eligible for vaccinated customers.
‧      Not valid for Gourmet Party Food, Birthday Party, Kid’s Fun Tour, Pizza Party, Wow Wed Promotion, Sharing 1+1, $78/$98 WOW Pizza offer and Paid Coupon/Complimentary Coupon Purchase
‧      Applicable to Dine-in & Takeaway; “FREE selected regular pizza upon spending HK$280 or above” offer is for Takeaway only
‧     Not applicable to online & hotline ordering
‧      This offer is not applicable to be used in conjunction with other promotion offers including Pizza Card / Staff Card / JSA Member Card / Gold Member 10%off discount / Enjoy (group) Card / Hang Seng Card
‧ To enjoy the offer, please present the proof of your COVID-19 vaccination
‧      Products and props shown on photos are for reference only
‧      For campaign details, please contact our staff
‧      Pizza Hut Hong Kong reserve the right of final determination over utilization of offers","['Central and Western', 'Eastern', 'Southern', 'Wan Chai', 'Sham Shui Po', 'Kowloon City', 'Kwun Tong', 'Wong Tai Sin', 'Yau Tsim Mong', 'Islands', 'Kwai Tsing', 'North', 'Sai Kung', 'Sha Tin', 'Tai Po', 'Tsuen Wan', 'Tuen Mun', 'Yuen Long']"
Western,Coffee Corner (The Kowloon Hotel),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/The%20Kowloon%20Hotel_logo%20%28resized%29%20-%20Jojo%20P_2.png?itok=TQdRyxMM,http://www.diningdiscount.hk/en/restaurant/376,"30% discount off Coffee, Cakes and Sweet Crossover Afternoon Tea Set (Monday to Friday)","Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last. Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Yau Tsim Mong']
Western,Flame at Towngas Avenue,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Flame%20at%20Towngas%20Avenue_Final_Cropped%20-%20Towngas%20Cooking%20%E7%85%A4%E6%B0%A3%E6%95%99%E7%85%91.jpg?itok=J-OoiKTF,http://www.diningdiscount.hk/en/restaurant/411,提供全單七折、套餐七折或個別食品七折優惠予四人一枱，四人均已接種疫苗的顧客。,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。 如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。
優惠並不適用於參與商戶之特定日期（如適用）。詳情請向參與商戶查詢。
顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。
餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Yau Tsim Mong']
Western,"Popinjays & Bar  (The Murray, Hong Kong, a Niccolo Hotel)",http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/The%20Murray%2C%20Hong%20Kong%20-%20Gold%20Logo%20-%20The%20Murray.jpg?itok=yr_i_hzP,http://www.diningdiscount.hk/en/restaurant/373,"30% in Food consumption only in a la carte items
The offer is not applicable on brunches, discounted/set menus, special promotions and beverages.
The offer is applicable to bookings/visits of 2 to 6 guests per table and can only be used once per table per transaction. Splitting bill is not allowed.","Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last., Only electronic payments are entitled to the offers if applicable. Octopus Card and cash payments are not eligible if applicable.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Central and Western']
Western,Angel & Devil,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/Angel%20%26%20Devil.jpeg?itok=m9Ohds9s,http://www.diningdiscount.hk/en/restaurant/400,週末半自助午餐及$298晚市套餐 7折,"• Offer cannot be used in conjunction with other promotional offers (Including Club East member offers)
• Offer is not applicable to set menu, all private parties, tailor-made menus, promotional menus & offers",['Kwun Tong']
Western,Marco's Oyster Bar & Grill,http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2019-08/MARCOS%20Oysterbar%20LOGO.jpg?itok=avtLuUxW,http://www.diningdiscount.hk/en/restaurant/53,$488 套餐 7折,"本優惠適用於已接種疫苗之顧客。
所有優惠不可兌換現金或換成其他貨品或折扣，並且不設退換。
除特別列明外，優惠不可與商戶之任何其他推廣優惠、折扣╱特價產品、公價產品、禮券╱現金券、積分計劃、商戶內部優惠同時使用。
優惠數量有限，先到先得。 如指定之優惠產品售完，參與商戶將提供其他等值或更高價值的優惠。 優惠並不適用於參與商戶之特定日期（如適用）。
詳情請向參與商戶查詢。顧客於參與商戶內消費時，須出示此活動的優惠詳情，方可享用有關優惠。餐飲優惠只適用於餐廳內享用，並不適用於外賣服務和購買煙草產品。
優惠使用者必須預先訂座，參與商戶會因應座位供應情況而決定是否接受訂座（如適用）。
所有餐飲優惠須另收取一成服務費，並會以原價計算（如適用）。
每位合資格的優惠使用者每次惠顧只可享優惠一次，恕不接受分桌或分單。
如有任何爭議，參與商戶保留最終決定權。
優惠條款及細則的中、英文版本如有任何差異，均以英文版本為準。",['Yau Tsim Mong']
Western,"SKYE Roofbar & Dining(The Park Lane Hong Kong, a Pullman Hotel)",http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-07/skye%20logo%20CMYK%20-%20Vicki%20Kong.png?itok=g3U9fpVS,http://www.diningdiscount.hk/en/restaurant/343,"30% discount on a la carte menu at SKYE Roofbar & Dining, Monday - Thursday","Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Wan Chai']
Western,Waterfront Bar & Terrace (Harbour Grand Kowloon),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/HGKLN_logo_bling%20-%20FNB%20HGKLN.jpg?itok=6d2E38S8,http://www.diningdiscount.hk/en/restaurant/346,30% off food for table of 4 pax at dinner from Monday to Thursday only,"Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last.
Only electronic payments are entitled to the offers if applicable. Octopus Card and cash payments are not eligible if applicable.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Kowloon City']
Western,Hari's Bar (Holiday Inn Golden Mile),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/Holiday%20Inn%20Golden%20Mile%20Hong%20Kong_LOGO_Colour_V%20-%20Catering%20Holiday%20Inn_3.jpg?itok=keKq4Oju,http://www.diningdiscount.hk/en/restaurant/360,30% off Hari's Bar (excluding Happy Hour),"Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Yau Tsim Mong']
Western, Le 188° Restaurant & Lounge (Harbour Grand Hong Kong),http://www.diningdiscount.hk/sites/default/files/styles/restaurant_logo/public/2021-06/300x300%20HGHK%20PNG%20-%20Becky%20Momo_1.PNG?itok=WoG49b4N,http://www.diningdiscount.hk/en/restaurant/351,"30% discount on Western Set Lunch from Monday - Friday at Le 188° Restaurant & Lounge
Above offer not applicable on public holiday","Offers are eligible for vaccinated customers.
Offers cannot be exchanged for cash, other products or discounts and are not transferable.
Offers cannot be used in conjunction with other promotional offers, discounted items, fixed price items, coupons/vouchers, bonus point programmes, or merchant internal offers, unless otherwise stated.
Offers are available on a first-come-first-served basis while stocks last. Offers may not be valid on blackout dates of participating merchants if applicable. Please check with participating merchants for details.
Customers are required to quote the offers upon order/purchase at participating merchants in order to enjoy the offer.
Dining offers are applicable to dine-in consumption only and not applicable to takeaway and tobacco items. Advance reservation is required if applicable and subject to seat availability.
10% service charge applies on dining offers and will be calculated based on original price if applicable.
Offers can only be redeemed once per eligible shopper per visit. Splitting of table or bill is not allowed for the purpose of enjoying the offers.
In case of any disputes, the decision of the participating merchant shall remain final.
In case of any discrepancies of the offer terms and conditions between English and Chinese versions, English version shall prevail.",['Eastern']
